handle,id,list_id
afcbournemouth,20880206,1831733254988431540
arsenal,34613288,1831734404571697498
mancity,14573900,1831734740463862174
manutd,558797310,1831734919589957920
lfc,19583545,1831735397313081462
officialbhafc,5760615,1832104585671872705
nufc,35758254,1831769354914164800
brentfordfc,103036163,1831769494060200145
avfcofficial,27489253,1831769607905882494
nffc,39754653,1831769691951345710
spursofficial,121402638,1831730060866318808
chelseafc,22910295,1831769123971571826
fulhamfc,22903812,1831769761086132388
westham,156247074,1831769041201148326
lcfc,122392884,1831768793863090233
cpfc,85307509,1831769841297965355
ipswichtown,356175998,1831769910701387816
wolves,49296276,1832104677149729010
southamptonfc,46143892,1831768919188856916
everton,15891449,1831768626036121637
lutontown,00000000,1832278081328894437
sheffieldunited,00000000,1832278299986239517
burnleyofficial,00000000,1832278451736223760
